Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      196    0.000    0.000    0.045    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1395(repeat)
      392    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\saved_model\save_context.py:59(in_save_context)
      590    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:1480(<genexpr>)
      524    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:134(setanno)
       98    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\distribute\distribute_lib.py:989(experimental_distribute_dataset)
     2098    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:1081(trainable)
      106    0.000    0.000    0.000    0.000 C:\Python_3.7.6\lib\weakref.py:435(__contains__)
      392    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\tf2.py:35(enabled)
      196    0.000    0.000    0.283    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\array_ops.py:1112(slice)
      196    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:1693(_is_distributed_dataset)
      296    0.000    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:3107(defun_with_attributes)
      160    0.000    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_resource_variable_ops.py:121(assign_variable_op)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:1525(<listcomp>)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4279(get_collection)
       98    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\version_utils.py:121(disallow_legacy_graph)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:209(<listcomp>)
       97    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\def_function.py:185(called_without_tracing)
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.lib.io._pywrap_file_io.Stat}
      101    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\distribute\distribute_lib.py:3600(__init__)
      597    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\utils\ag_logging.py:117(has_verbosity)
       98    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\def_function.py:180(_get_detector)
     1121    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:513(<listcomp>)
      295    0.000    0.000    0.176    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:1320(_get_defun_inputs_from_args)
     1470    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\options.py:419(_set_mutable)
      593    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\core\ag_ctx.py:34(control_status_ctx)
        1    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\training\tracking\util.py:1532(saver_with_op_caching)
      494    0.000    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\array_ops.py:1579(_autopacking_conversion_function)
   750/23    0.000    0.000    0.003    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\gast\astn.py:9(_visit)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:232(__len__)
     2393    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\control_flow_util.py:187(GetContainingWhileContext)
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:362(<listcomp>)
      490    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:5313(element_spec)
      294    0.000    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4807(_build_tensor)
      194    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_spec.py:78(__eq__)
     1186    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\typing_extensions.py:445(<genexpr>)
      365    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\training\tracking\data_structures.py:94(wrap_or_unwrap)
      297    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\impl\conversion.py:214(is_in_allowlist_cache)
      494    0.000    0.000    0.182    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\constant_op.py:340(_constant_tensor_conversion_function)
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\c_api_util.py:101(__init__)
       98    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\nest.py:177(map_structure)
      296    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\default_types.py:287(__hash__)
      129    0.000    0.000    0.003    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_util.py:1086(maybe_set_static_shape)
       98    0.000    0.000    0.090    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:731(from_tensor_slices)
      392    0.000    0.000    0.038    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\signature_builder.py:142(make_function_signature)
     1302    0.000    0.000    0.000    0.000 C:\Python_3.7.6\lib\enum.py:526(__new__)
        1    0.000    0.000    0.002    0.002 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\h5py\_hl\files.py:206(make_fid)
      595    0.000    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\utils\ag_logging.py:134(log)
   222/46    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\gast\astn.py:17(generic_visit)
      196    0.000    0.000    0.023    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:289(_call_batch_hook)
       98    0.000    0.000    0.054    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:2700(with_options)
      124    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:2092(__init__)
      866    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\tf_inspect.py:360(isclass)
      294    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:1895(name)
      295    0.000    0.000    0.014    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:1500(_set_function_spec)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:395(<listcomp>)
      468    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetRestartOnThread}
      725    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:32(__init__)
      490    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\default_types.py:93(__init__)
      295    0.000    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:223(from_compatible_tensor_list)
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\signature_builder.py:42(add_listener)
      660    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:616(trainable)
       98    0.000    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:8246(zip_dataset)
      793    0.000    0.000    0.001    0.000 C:\Python_3.7.6\lib\os.py:738(check_str)
      100    0.000    0.000    0.094    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\array_ops.py:66(reshape)
      119    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\ast_util.py:279(parallel_walk)
       98    0.000    0.000    0.033    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:3438(map_dataset)
      588    0.000    0.000    0.023    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:334(reduce_fn)
      208    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:760(_type_spec)
      292    0.000    0.000    0.000    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
      196    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:866(_implements_train_batch_hooks)
      947    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer_utils.py:891(has_weights)
      490    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:5261(element_spec)
       11    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\functional.py:897(_map_graph_network)
       98    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:970(__init__)
      725    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:60(__hash__)
      196    0.000    0.000    0.022    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:1202(_truncate_execution_to_epoch)
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:919(deferred_internal_captures)
   553/11    0.000    0.000    0.009    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\core\converter.py:307(visit)
  245/187    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\layer_utils.py:485(wrapped)
      684    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\type_spec.py:517(<listcomp>)
      104    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      388    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\default_types.py:98(_shallow_equal)
      425    0.000    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5550(colocate_with)
       43    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:914(deferred_external_captures)
       98    0.000    0.000    0.031    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:5995(parallel_map_dataset_v2)
      614    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:64(_SatisfiesLengthConstraint)
      593    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\cache.py:88(_get_key)
      392    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
      426    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\object_identity.py:139(__setitem__)
       98    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\options.py:221(_to_proto)
      393    0.000    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:242(<lambda>)
      194    0.000    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\polymorphism\function_cache.py:78(__eq__)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\monitoring.py:480(__enter__)
     1426    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\object_identity.py:62(__hash__)
      370    0.000    0.000    0.000    0.000 C:\Python_3.7.6\lib\weakref.py:408(__setitem__)
      408    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:2022(__init__)
      297    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\core\converter.py:169(__hash__)
      763    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:123(getanno)
      507    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       20    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.framework._op_def_registry.get}
     4998    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:84(<lambda>)
    21/11    0.000    0.000    0.061    0.006 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:893(__call__)
       98    0.000    0.000    0.046    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:2330(flat_map_dataset)
     3479    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
     1176    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\structured_function.py:291(output_structure)
      194    0.000    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\type_spec.py:438(__eq__)
      294    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:1658(_get_tensor_types)
      101    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\distribute\distribute_lib.py:3619(__exit__)
      126    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\training.py:2881(layers)
      241    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringBoolGaugeCellSet}
      686    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:2750(<genexpr>)
       98    0.000    0.000    0.210    0.002 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:279(permutation)
       98    0.000    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:6263(range_dataset)
       98    0.000    0.000    0.142    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:357(grab_batch)
      392    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\numpy\core\shape_base.py:218(_vhstack_dispatcher)
      409    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\device.py:40(is_device_spec)
      686    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4227(_inputs)
   238/16    0.000    0.000    0.001    0.000 C:\Python_3.7.6\lib\ast.py:273(generic_visit)
      295    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:6636(get_collection)
      907    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\object_identity.py:53(__eq__)
      590    0.000    0.000    0.024    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:131(<listcomp>)
      297    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\inspect_utils.py:91(isconstructor)
      634    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\numpy\core\multiarray.py:1071(copyto)
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:344(<listcomp>)
      165    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5979(executing_eagerly_outside_functions)
      318    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\execute.py:168(make_str)
      250    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:1323(is_fully_defined)
      392    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:2065(<listcomp>)
     1398    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       98    0.000    0.000    2.840    0.029 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:1398(get_data_handler)
      295    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:128(<listcomp>)
      102    0.000    0.000    0.019    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\functional.py:412(_lookup_dependency)
      788    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:1053(name)
      294    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(atleast_1d)
      196    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:405(signature)
      393    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:1335(_get_composite_tensor_spec)
     1582    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\generic_utils.py:1188(is_default)
     2388    0.000    0.000    0.000    0.000 C:\Python_3.7.6\lib\inspect.py:2517(name)
      296    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\tf_inspect.py:344(getmodule)
       98    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:1109(_finalize_progbar)
      295    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:1748(convert_to_tensor_or_composite)
      317    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\numpy\core\numeric.py:72(_zeros_like_dispatcher)
       98    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:462(on_predict_batch_begin)
     1474    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
      318    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:177(_MakeStr)
      697    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:343(<genexpr>)
       11    0.000    0.000    0.006    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\functional.py:150(_init_graph_network)
       98    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\data_adapter.py:548(_is_composite)
      392    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\type_spec.py:474(__tf_tracing_type__)
       98    0.000    0.000    1.218    0.012 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:2058(flat_map)
      325    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\io_utils.py:54(is_interactive_logging_enabled)
      400    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\backend.py:6832(<lambda>)
      194    0.000    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\default_types.py:326(__eq__)
       98    0.000    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:4801(options_dataset)
       98    0.000    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:282(set_model)
      392    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\polymorphism\function_cache.py:42(__init__)
       98    0.000    0.000    0.089    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\numpy\core\shape_base.py:222(vstack)
      590    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:1178(<genexpr>)
     1242    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:745(_CheckAllInputsUsed)
      296    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\polymorphism\type_dispatch.py:38(__init__)
       98    0.000    0.000    0.108    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1261(concatenate)
      392    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\core\function\trace_type\signature_builder.py:38(__init__)
       98    0.000    0.000    0.020    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4718(common_supertype)
       11    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       98    0.000    0.000    0.033    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1175(range)
       98    0.000    0.000    0.021    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\callbacks.py:310(_call_batch_end_hook)
      627    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       98    0.000    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:6136(prefetch_dataset)
     2085    0.000    0.000    0.000    0.000 {built-in method from_iterable}
       98    0.000    0.000    0.004    0.000 C:/Python_projects/2_Building_optimal_CNN_model/1.0_python_scripts/2.0_great_python_scripts/3.1.5_GC_PRO_ANALYSE_preprocess_+_extract_+_invertColors_+normalize_+_recognise_object_+_reformated_+_inline_+_videoInput_+_imShowBugFix_+_Cprofiler_+_snakeviz_+_optimized_.py:23(addTextWithBackgroundRectangleToImageBellowBoundingBox)
      393    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\profiler\trace.py:50(__init__)
      295    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:1325(_get_defun_inputs_from_kwargs)
     1170    0.000    0.000    0.000    0.000 C:\Python_3.7.6\lib\inspect.py:72(isclass)
       98    0.000    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4412(_to_tensor_list)
      196    0.000    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:52(__setattr__)
      784    0.000    0.000    0.000    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:98(<genexpr>)
      295    0.000    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:1233(check_func_mutation)
