Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2537    0.018    0.000    0.663    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:628(_create_op_internal)
     6465    0.018    0.000    0.018    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
     2537    0.017    0.000    0.059    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3798(_create_op_helper)
    23115    0.017    0.000    0.031    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\compat.py:89(as_text)
16335/11028    0.017    0.000    0.065    0.000 C:\Python_3.7.6\lib\contextlib.py:116(__exit__)
    17841    0.017    0.000    0.099    0.000 {built-in method _abc._abc_instancecheck}
     2537    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewOperation}
5311/5295    0.016    0.000    1.766    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:1572(convert_to_tensor)
     3172    0.016    0.000    0.131    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2633(get_attr)
16335/10994    0.016    0.000    0.152    0.000 C:\Python_3.7.6\lib\contextlib.py:107(__enter__)
     3096    0.016    0.000    0.094    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:469(inner_cm)
    32945    0.016    0.000    0.016    0.000 {built-in method _codecs.lookup}
30311/19618    0.016    0.000    0.186    0.000 {built-in method builtins.next}
      295    0.015    0.000    2.059    0.007 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:971(func_graph_from_py_func)
     7617    0.015    0.000    0.015    0.000 C:\Python_3.7.6\lib\_collections_abc.py:742(__iter__)
     1862    0.014    0.000    1.702    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\constant_op.py:271(_constant_impl)
     3096    0.014    0.000    0.051    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5815(get_controller)
      308    0.014    0.000    0.032    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3056(__init__)
1918/1460    0.014    0.000    0.972    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\dispatch.py:1068(op_dispatch_handler)
     2437    0.013    0.000    0.013    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\c_api_util.py:219(tf_output)
     9830    0.013    0.000    0.024    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\compat.py:61(as_bytes)
     2403    0.013    0.000    0.244    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:660(_get_resource_inputs)
     4690    0.013    0.000    0.027    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\dtypes.py:155(is_compatible_with)
     1274    0.013    0.000    0.013    0.000 {rectangle}
    16335    0.013    0.000    0.044    0.000 C:\Python_3.7.6\lib\contextlib.py:237(helper)
     2386    0.013    0.000    0.017    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\errors_impl.py:53(__init__)
    11117    0.012    0.000    0.012    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\dtypes.py:50(_is_ref_dtype)
     1242    0.012    0.000    0.051    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:318(_ExtractAttrProto)
