Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9403/1806    0.082    0.000    0.083    0.000 {built-in method _abc._abc_subclasscheck}
     7764    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     7617    0.015    0.000    0.015    0.000 C:\Python_3.7.6\lib\_collections_abc.py:742(__iter__)
     7612    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
     7611    0.003    0.000    0.003    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\lock_util.py:109(_validate_group_id)
7550/5767    0.008    0.000    0.033    0.000 {built-in method builtins.any}
     7519    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     7503    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
     7496    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2543(graph)
     7411    0.003    0.000    0.003    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3344(_c_graph)
     7341    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
     7317    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     7258    0.020    0.000    0.020    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
     7239    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     7179    0.005    0.000    0.016    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\registry.py:81(lookup)
     7104    0.003    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\core\config_lib.py:29(matches)
     7068    0.006    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:260(_yield_sorted_items)
     7038    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:265(value)
     6870    0.003    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4361(_name_stack)
     6808    0.003    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\core\config_lib.py:46(get_action)
     6657    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2194(_get_control_flow_context)
     6606    0.004    0.000    0.014    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:775(<genexpr>)
     6592    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:182(<genexpr>)
     6592    0.008    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:181(__init__)
     6505    0.003    0.000    0.003    0.000 {method 'encode' of 'str' objects}
     6465    0.018    0.000    0.018    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
     6450    0.001    0.000    0.002    0.000 C:\Python_3.7.6\lib\ast.py:181(iter_fields)
     6405    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     6279    0.003    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5396(_distribution_strategy_stack)
